name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
יער ראש העין,32.0995587,34.978718,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק בגין,31.722911,35.110502,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,נקודת אתר / פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מרכז המבקרים באילנות,32.293046,34.901048,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,אזור מרכז המבקרים,בינונית,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מרכז צפרות יער ראש ציפור,32.09451,34.80491,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,נקודת אתר / פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נווה אילן הישנה ויער המכללות,31.808850199764127,35.08226074809324,center,מרכז / ירושלים והשפלה,heritage,יער / מסלול,אתר מורשת,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נחל אלכסנדר,32.39613330537673,34.865702390670776,center,מרכז / ירושלים והשפלה,water,מסלול הליכה,שפך הנחל / נקודה מייצגת,בינונית,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
עזקה: עיר מבצר בגבול יהודה,31.7009791,34.9356716,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,אתר ארכאולוגי / תל,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
עין נקופה ויער הסתדרות המורים,31.808983259334,35.143032073975,center,מרכז / ירושלים והשפלה,water,יער / מסלול,מעיין,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק שלולית החורף בנתניה,32.2906436,34.8433572,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,נקודת אתר / פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
תל עדולם,31.65033,35.0028,center,מרכז / ירושלים והשפלה,viewpoints,טיול / נקודת עניין,תצפית / תל ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
אגם מים בפארק יצחק נבון ירוחם,30.988861,34.902722,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,אגם / פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
אנדרטת חץ שחור,31.5069178,34.5526135,south,דרום / נגב וערבה,heritage,טיול / נקודת עניין,אנדרטה,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
באר צקלג שביער להב,31.38967,34.85325,south,דרום / נגב וערבה,nature,יער / מסלול,באר / נקודת אתר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חניון הרועה,30.8755,34.78593,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,חניון,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק אשכול (גן לאומי הבשור),31.308622,34.49177,south,דרום / נגב וערבה,parks,טיול / נקודת עניין,גן לאומי / פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק הולנד באילת,31.016456,34.760785,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
רוחמה הישנה,29.57194,34.96056,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק תמנע,29.77333,34.97639,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,מרכז אזור / נקודה מייצגת לפארק,בינונית,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
בארות יצחק הישנה,31.46086,34.50034,south,דרום / נגב וערבה,heritage,טיול / נקודת עניין,אתר מורשת / אנדרטה,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק אופקים,31.30761,34.6348,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,פארק,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער המלאכים-שחריה,31.5938025,34.8266995,south,דרום / נגב וערבה,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער יתיר,31.3333,35.05,south,דרום / נגב וערבה,nature,יער / מסלול,נקודה בתוך היער / אתר מחקר,בינונית,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
שמורת טבע נחל עמוד,32.9731393,35.4625321,north,צפון,reserves,שמורת טבע / מסלול,נקודת אתר,גבוהה,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A2%D7%9E%D7%95%D7%93/
שמורת טבע תל דן,33.2421211,35.6454181,north,צפון,reserves,שמורת טבע / מסלול,נקודת אתר,גבוהה,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%AA%D7%9C-%D7%93%D7%9F/
יער בית קשת,32.7363889,35.3838889,north,צפון,nature,יער / דרך נוף,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/beit_keshet_forest/
עין מבוע,31.76,35.32,jerusalem,ירושלים ומדבר יהודה,water,מעיין,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%94%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A4%D7%A8%D7%AA-%D7%95%D7%90%D7%93%D7%99-%D7%A7%D7%9C%D7%98/
