name,search_query,region,region_raw,category,type_raw,source
חניון רעים ודרך מתקני המים,חניון רעים ודרך מתקני המים,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חניוני הערבה התיכונה,חניוני הערבה התיכונה,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
אתרי יער להב,אתרי יער להב,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
נתיב אנז״ק בנגב,נתיב אנז״ק בנגב,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק אשכול (גן לאומי הבשור),פארק אשכול (גן לאומי הבשור),south,דרום / נגב וערבה,parks,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק גולדה,פארק גולדה,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק הולנד באילת,פארק הולנד באילת,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
רוחמה הישנה,רוחמה הישנה,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
דרך הבשור,דרך הבשור,south,דרום / נגב וערבה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
דרך השדות,דרך השדות,south,דרום / נגב וערבה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק תמנע,פארק תמנע,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
אתרי חטיבת גבעתי במלחמת העצמאות,אתרי חטיבת גבעתי במלחמת העצמאות,south,דרום / נגב וערבה,mountains,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
דרך השלום שבערבה,דרך השלום שבערבה,south,דרום / נגב וערבה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
דרך נוף נחל שמריה,דרך נוף נחל שמריה,south,דרום / נגב וערבה,water,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
סובב ניצנה,סובב ניצנה,south,דרום / נגב וערבה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
בארות יצחק הישנה,בארות יצחק הישנה,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
בית הכנסת הקדום במעון,בית הכנסת הקדום במעון,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
בריכת החורף הודיה,בריכת החורף הודיה,south,דרום / נגב וערבה,water,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חורשת עזריקם,חורשת עזריקם,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
פארק אופקים,פארק אופקים,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
טיול לשלושה עצים,טיול לשלושה עצים,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
יער בארי - מסלול נגיש,יער בארי - מסלול נגיש,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
